,Name,Critic_Score,User_Score
938,Just Cause 3,7.3,6.5
939,Chrono Cross,9.4,8.1
940,Jak 3,8.4,8.6
941,Kingdom Hearts: Chain of Memories,7.6,7.9
943,Max Payne 3,8.7,7.8
945,LEGO Marvel Super Heroes,8.2,7.9
946,Phineas and Ferb,8.0,4.5
947,NCAA Football 06,8.7,8.5
949,Rayman Raving Rabbids 2,6.7,8.3
952,Kirby: Triple Deluxe,8.0,8.8
955,Sonic Classic Collection,7.0,7.5
958,inFAMOUS 2,8.3,8.4
959,World of Warcraft: Mists of Pandaria,8.2,4.8
961,Namco Museum,7.2,6
962,The Sims: Hot Date,8.5,7.9
963,Demon's Souls,8.9,8.9
964,The Orange Box,9.6,8.9
965,DDRMAX2: Dance Dance Revolution,8.2,8.2
967,Virtua Fighter 4,9.4,8
968,Mafia III,6.8,5.1
969,Sly 2: Band of Thieves,8.8,9
